T_out,Press_mm_hg,RH_out
2.5,758,93
2.5,758.13,93.67
2.5,758.27,94.33
2.5,758.4,95
2.5,758.53,95.67
2.5,758.67,96.33
2.5,758.8,97
2.45,758.88,97
2.4,758.97,97
2.35,759.05,97
2.3,759.13,97
2.25,759.22,97
2.2,759.3,97
2.2,759.42,96.83
2.2,759.53,96.67
2.2,759.65,96.5
2.2,759.77,96.33
2.2,759.88,96.17
2.2,760,96
2.28,760.1,95.83
2.37,760.2,95.67
2.45,760.3,95.5
2.53,760.4,95.33
2.62,760.5,95.17
2.7,760.6,95
2.65,760.68,95.33
2.6,760.77,95.67
2.55,760.85,96
2.5,760.93,96.33
2.45,761.02,96.67
2.4,761.1,97
2.38,761.16,96.83
2.35,761.22,96.67
2.33,761.27,96.5
2.3,761.33,96.33
2.27,761.39,96.17
2.25,761.45,96
2.23,761.51,95.83
2.2,761.57,95.67
2.17,761.63,95.5
2.15,761.68,95.33
2.13,761.74,95.17
2.1,761.8,95
2,761.87,95
1.9,761.93,95
1.8,762,95
1.7,762.07,95
1.6,762.13,95
1.5,762.2,95
1.35,762.22,95.33
1.2,762.23,95.67
1.05,762.25,96
0.9,762.27,96.33
0.75,762.28,96.67
0.6,762.3,97
0.6,762.35,96.83
0.6,762.4,96.67
0.6,762.45,96.5
0.6,762.5,96.33
0.6,762.55,96.17
0.6,762.6,96
0.58,762.55,96
0.57,762.5,96
0.55,762.45,96
0.53,762.4,96
0.52,762.35,96
0.5,762.3,96
0.58,762.32,96
0.67,762.33,96
0.75,762.35,96
0.83,762.37,96
0.92,762.38,96
1,762.4,96
1.03,762.42,96
1.07,762.43,96
1.1,762.45,96
1.13,762.47,96
1.17,762.48,96
1.2,762.5,96
1.22,762.55,96.17
1.23,762.6,96.33
1.25,762.65,96.5
1.27,762.7,96.67
1.28,762.75,96.83
1.3,762.8,97
1.42,762.88,96.67
1.53,762.97,96.33
1.65,763.05,96
1.77,763.13,95.67
1.88,763.22,95.33
2,763.3,95
2.25,763.32,94.67
2.5,763.33,94.33
2.75,763.35,94
3,763.37,93.67
3.25,763.38,93.33
3.5,763.4,93
3.7,763.48,92
3.9,763.57,91
4.1,763.65,90
4.3,763.73,89
4.5,763.82,88
4.7,763.9,87
4.9,763.87,83.5
5.1,763.83,80
5.3,763.8,76.5
5.5,763.77,73
5.7,763.73,69.5
5.9,763.7,66
5.88,763.7,68.33
5.87,763.7,70.67
5.85,763.7,73
5.83,763.7,75.33
5.82,763.7,77.67
5.8,763.7,80
5.7,763.7,77.83
5.6,763.7,75.67
5.5,763.7,73.5
5.4,763.7,71.33
5.3,763.7,69.17
5.2,763.7,67
5.02,763.88,67.67
4.83,764.07,68.33
4.65,764.25,69
4.47,764.43,69.67
4.28,764.62,70.33
4.1,764.8,71
3.68,764.73,73.83
3.27,764.67,76.67
2.85,764.6,79.5
2.43,764.53,82.33
2.02,764.47,85.17
1.6,764.4,88
1.75,764.45,86.33
1.9,764.5,84.67
2.05,764.55,83
2.2,764.6,81.33
2.35,764.65,79.67
2.5,764.7,78
2.42,764.77,79.5
2.33,764.83,81
2.25,764.9,82.5
2.17,764.97,84
2.08,765.03,85.5
2,765.1,87
1.8,765.07,87.83
1.6,765.03,88.67
1.4,765,89.5
1.2,764.97,90.33
1,764.93,91.17
0.8,764.9,92
0.73,764.93,92.67
0.67,764.97,93.33
0.6,765,94
0.53,765.03,94.67
0.47,765.07,95.33
0.4,765.1,96
0.42,765.05,96.33
0.43,765,96.67
0.45,764.95,97
0.47,764.9,97.33
0.48,764.85,97.67
0.5,764.8,98
0.58,764.75,97.17
0.67,764.7,96.33
0.75,764.65,95.5
0.83,764.6,94.67
0.92,764.55,93.83
1,764.5,93
0.92,764.5,93.5
0.83,764.5,94
0.75,764.5,94.5
0.67,764.5,95
0.58,764.5,95.5
0.5,764.5,96
0.55,764.5,96
0.6,764.5,96
0.65,764.5,96
0.7,764.5,96
0.75,764.5,96
0.8,764.5,96
0.83,764.55,95.5
0.87,764.6,95
0.9,764.65,94.5
0.93,764.7,94
0.97,764.75,93.5
1,764.8,93
0.9,764.75,93.83
0.8,764.7,94.67
0.7,764.65,95.5
0.6,764.6,96.33
0.5,764.55,97.17
0.4,764.5,98
0.43,764.47,97.83
0.47,764.43,97.67
0.5,764.4,97.5
0.53,764.37,97.33
0.57,764.33,97.17
0.6,764.3,97
0.58,764.27,96.83
0.57,764.23,96.67
0.55,764.2,96.5
0.53,764.17,96.33
0.52,764.13,96.17
0.5,764.1,96
0.48,764.1,96.17
0.47,764.1,96.33
0.45,764.1,96.5
0.43,764.1,96.67
0.42,764.1,96.83
0.4,764.1,97
0.42,764.13,96.83
0.43,764.17,96.67
0.45,764.2,96.5
0.47,764.23,96.33
0.48,764.27,96.17
0.5,764.3,96
0.28,764.37,96
0.07,764.43,96
-0.15,764.5,96
-0.37,764.57,96
-0.58,764.63,96
-0.8,764.7,96
-0.8,764.72,95.5
-0.8,764.73,95
-0.8,764.75,94.5
-0.8,764.77,94
-0.8,764.78,93.5
-0.8,764.8,93
-0.63,764.85,92.5
-0.47,764.9,92
-0.3,764.95,91.5
-0.13,765,91
0.03,765.05,90.5
0.2,765.1,90
0.38,765.15,89.5
0.57,765.2,89
0.75,765.25,88.5
0.93,765.3,88
1.12,765.35,87.5
1.3,765.4,87
1.48,765.43,85.17
1.67,765.47,83.33
1.85,765.5,81.5
2.03,765.53,79.67
2.22,765.57,77.83
2.4,765.6,76
2.48,765.58,75.17
2.57,765.57,74.33
2.65,765.55,73.5
2.73,765.53,72.67
2.82,765.52,71.83
2.9,765.5,71
2.92,765.48,69.67
2.93,765.47,68.33
2.95,765.45,67
2.97,765.43,65.67
2.98,765.42,64.33
3,765.4,63
3.02,765.37,62.33
3.03,765.33,61.67
3.05,765.3,61
3.07,765.27,60.33
3.08,765.23,59.67
3.1,765.2,59
3.03,765.18,59.17
2.97,765.17,59.33
2.9,765.15,59.5
2.83,765.13,59.67
2.77,765.12,59.83
2.7,765.1,60
2.38,765.07,62.17
2.07,765.03,64.33
1.75,765,66.5
1.43,764.97,68.67
1.12,764.93,70.83
0.8,764.9,73
0.53,764.88,74.67
0.27,764.87,76.33
0,764.85,78
-0.27,764.83,79.67
-0.53,764.82,81.33
-0.8,764.8,83
-0.83,764.8,82.33
-0.87,764.8,81.67
-0.9,764.8,81
-0.93,764.8,80.33
-0.97,764.8,79.67
-1,764.8,79
-1.03,764.8,78
-1.07,764.8,77
-1.1,764.8,76
-1.13,764.8,75
-1.17,764.8,74
-1.2,764.8,73
-1.25,764.75,74.17
-1.3,764.7,75.33
-1.35,764.65,76.5
-1.4,764.6,77.67
-1.45,764.55,78.83
-1.5,764.5,80
-1.57,764.48,80.33
-1.63,764.47,80.67
-1.7,764.45,81
-1.77,764.43,81.33
-1.83,764.42,81.67
-1.9,764.4,82
-1.97,764.35,82.17
-2.03,764.3,82.33
-2.1,764.25,82.5
-2.17,764.2,82.67
-2.23,764.15,82.83
-2.3,764.1,83
-2.38,764.03,83.5
-2.47,763.97,84
-2.55,763.9,84.5
-2.63,763.83,85
-2.72,763.77,85.5
-2.8,763.7,86
-2.88,763.58,86
-2.97,763.47,86
-3.05,763.35,86
-3.13,763.23,86
-3.22,763.12,86
-3.3,763,86
-3.42,762.92,86.5
-3.53,762.83,87
-3.65,762.75,87.5
-3.77,762.67,88
-3.88,762.58,88.5
-4,762.5,89
-4,762.4,88.67
-4,762.3,88.33
-4,762.2,88
-4,762.1,87.67
-4,762,87.33
-4,761.9,87
-4,761.82,86.83
-4,761.73,86.67
-4,761.65,86.5
-4,761.57,86.33
-4,761.48,86.17
-4,761.4,86
-4,761.3,85.67
-4,761.2,85.33
-4,761.1,85
-4,761,84.67
-4,760.9,84.33
-4,760.8,84
-4.08,760.72,84.5
-4.17,760.63,85
-4.25,760.55,85.5
-4.33,760.47,86
-4.42,760.38,86.5
-4.5,760.3,87
-4.55,760.25,87.17
-4.6,760.2,87.33
-4.65,760.15,87.5
-4.7,760.1,87.67
-4.75,760.05,87.83
-4.8,760,88
-4.75,759.97,87.83
-4.7,759.93,87.67
-4.65,759.9,87.5
-4.6,759.87,87.33
-4.55,759.83,87.17
-4.5,759.8,87
-4.43,759.77,86.83
-4.37,759.73,86.67
-4.3,759.7,86.5
-4.23,759.67,86.33
-4.17,759.63,86.17
-4.1,759.6,86
-4,759.55,86.17
-3.9,759.5,86.33
-3.8,759.45,86.5
-3.7,759.4,86.67
-3.6,759.35,86.83
-3.5,759.3,87
-3.28,759.23,85.83
-3.07,759.17,84.67
-2.85,759.1,83.5
-2.63,759.03,82.33
-2.42,758.97,81.17
-2.2,758.9,80
-2.07,758.82,79
-1.93,758.73,78
-1.8,758.65,77
-1.67,758.57,76
-1.53,758.48,75
-1.4,758.4,74
-1.35,758.3,73.67
-1.3,758.2,73.33
-1.25,758.1,73
-1.2,758,72.67
-1.15,757.9,72.33
-1.1,757.8,72
-1.02,757.72,71.67
-0.93,757.63,71.33
-0.85,757.55,71
-0.77,757.47,70.67
-0.68,757.38,70.33
-0.6,757.3,70
-0.57,757.25,69.5
-0.53,757.2,69
-0.5,757.15,68.5
-0.47,757.1,68
-0.43,757.05,67.5
-0.4,757,67
-0.42,756.97,67.5
-0.43,756.93,68
-0.45,756.9,68.5
-0.47,756.87,69
-0.48,756.83,69.5
-0.5,756.8,70
-0.62,756.77,72
-0.73,756.73,74
-0.85,756.7,76
-0.97,756.67,78
-1.08,756.63,80
-1.2,756.6,82
-1.33,756.6,82.83
-1.47,756.6,83.67
-1.6,756.6,84.5
-1.73,756.6,85.33
-1.87,756.6,86.17
-2,756.6,87
-2.08,756.6,86.33
-2.17,756.6,85.67
-2.25,756.6,85
-2.33,756.6,84.33
-2.42,756.6,83.67
-2.5,756.6,83
-2.5,756.65,82.17
-2.5,756.7,81.33
-2.5,756.75,80.5
-2.5,756.8,79.67
-2.5,756.85,78.83
-2.5,756.9,78
-2.58,756.88,78.83
-2.67,756.87,79.67
-2.75,756.85,80.5
-2.83,756.83,81.33
-2.92,756.82,82.17
-3,756.8,83
-3.17,756.77,83.5
-3.33,756.73,84
-3.5,756.7,84.5
-3.67,756.67,85
-3.83,756.63,85.5
-4,756.6,86
-4.15,756.6,86.33
-4.3,756.6,86.67
-4.45,756.6,87
-4.6,756.6,87.33
-4.75,756.6,87.67
-4.9,756.6,88
-4.83,756.6,87.83
-4.77,756.6,87.67
-4.7,756.6,87.5
-4.63,756.6,87.33
-4.57,756.6,87.17
-4.5,756.6,87
-4.52,756.6,87.67
-4.53,756.6,88.33
-4.55,756.6,89
-4.57,756.6,89.67
-4.58,756.6,90.33
-4.6,756.6,91
-4.55,756.53,90.5
-4.5,756.47,90
-4.45,756.4,89.5
-4.4,756.33,89
-4.35,756.27,88.5
-4.3,756.2,88
-4.33,756.25,88.5
-4.37,756.3,89
-4.4,756.35,89.5
-4.43,756.4,90
-4.47,756.45,90.5
-4.5,756.5,91
-4.43,756.45,90.67
-4.37,756.4,90.33
-4.3,756.35,90
-4.23,756.3,89.67
-4.17,756.25,89.33
-4.1,756.2,89
-4.1,756.22,89
-4.1,756.23,89
-4.1,756.25,89
-4.1,756.27,89
-4.1,756.28,89
-4.1,756.3,89
-4.17,756.32,89.33
-4.23,756.33,89.67
-4.3,756.35,90
-4.37,756.37,90.33
-4.43,756.38,90.67
-4.5,756.4,91
-4.47,756.42,90.83
-4.43,756.43,90.67
-4.4,756.45,90.5
-4.37,756.47,90.33
-4.33,756.48,90.17
-4.3,756.5,90
-4.3,756.55,89.83
-4.3,756.6,89.67
-4.3,756.65,89.5
-4.3,756.7,89.33
-4.3,756.75,89.17
-4.3,756.8,89
-4.4,756.87,89.67
-4.5,756.93,90.33
-4.6,757,91
-4.7,757.07,91.67
-4.8,757.13,92.33
-4.9,757.2,93
-4.7,757.22,92.67
-4.5,757.23,92.33
-4.3,757.25,92
-4.1,757.27,91.67
-3.9,757.28,91.33
-3.7,757.3,91
-3.48,757.32,89.33
-3.27,757.33,87.67
-3.05,757.35,86
-2.83,757.37,84.33
-2.62,757.38,82.67
-2.4,757.4,81
-2.27,757.43,80
-2.13,757.47,79
-2,757.5,78
-1.87,757.53,77
-1.73,757.57,76
-1.6,757.6,75
-1.33,757.6,73.17
-1.07,757.6,71.33
-0.8,757.6,69.5
-0.53,757.6,67.67
-0.27,757.6,65.83
0,757.6,64
-0.03,757.55,64.67
-0.07,757.5,65.33
-0.1,757.45,66
-0.13,757.4,66.67
-0.17,757.35,67.33
-0.2,757.3,68
0.12,757.28,66.17
0.43,757.27,64.33
0.75,757.25,62.5
1.07,757.23,60.67
1.38,757.22,58.83
1.7,757.2,57
1.47,757.22,57.83
1.23,757.23,58.67
1,757.25,59.5
0.77,757.27,60.33
0.53,757.28,61.17
0.3,757.3,62
0.17,757.32,64
0.03,757.33,66
-0.1,757.35,68
-0.23,757.37,70
-0.37,757.38,72
-0.5,757.4,74
-0.75,757.45,75.5
-1,757.5,77
-1.25,757.55,78.5
-1.5,757.6,80
-1.75,757.65,81.5
-2,757.7,83
-2.12,757.73,83.83
-2.23,757.77,84.67
-2.35,757.8,85.5
-2.47,757.83,86.33
-2.58,757.87,87.17
-2.7,757.9,88
-2.75,757.95,88.17
-2.8,758,88.33
-2.85,758.05,88.5
-2.9,758.1,88.67
-2.95,758.15,88.83
-3,758.2,89
-3.25,758.2,89.83
-3.5,758.2,90.67
-3.75,758.2,91.5
-4,758.2,92.33
-4.25,758.2,93.17
-4.5,758.2,94
-4.35,758.2,93.5
-4.2,758.2,93
-4.05,758.2,92.5
-3.9,758.2,92
-3.75,758.2,91.5
-3.6,758.2,91
-3.67,758.25,91
-3.73,758.3,91
-3.8,758.35,91
-3.87,758.4,91
-3.93,758.45,91
-4,758.5,91
-4.08,758.55,91.5
-4.17,758.6,92
-4.25,758.65,92.5
-4.33,758.7,93
-4.42,758.75,93.5
-4.5,758.8,94
-4.55,758.78,94
-4.6,758.77,94
-4.65,758.75,94
-4.7,758.73,94
-4.75,758.72,94
-4.8,758.7,94
-4.81,758.71,93.83
-4.82,758.72,93.67
-4.83,758.73,93.5
-4.84,758.74,93.33
-4.86,758.76,93.17
-4.87,758.77,93
-4.88,758.78,92.83
-4.89,758.79,92.67
-4.9,758.8,92.5
-4.91,758.81,92.33
-4.92,758.82,92.17
-4.93,758.83,92
-4.94,758.84,91.83
-4.96,758.86,91.67
-4.97,758.87,91.5
-4.98,758.88,91.33
-4.99,758.89,91.17
-5,758.9,91
-4.83,758.93,90.83
-4.67,758.97,90.67
-4.5,759,90.5
-4.33,759.03,90.33
-4.17,759.07,90.17
-4,759.1,90
-3.83,759.07,90
-3.67,759.03,90
-3.5,759,90
-3.33,758.97,90
-3.17,758.93,90
-3,758.9,90
-2.97,758.9,90
-2.93,758.9,90
-2.9,758.9,90
-2.87,758.9,90
-2.83,758.9,90
-2.8,758.9,90
-2.73,758.95,89.33
-2.67,759,88.67
-2.6,759.05,88
-2.53,759.1,87.33
-2.47,759.15,86.67
-2.4,759.2,86
-2.37,759.3,86.33
-2.33,759.4,86.67
